Time period,Miles,Dollars,Gallons,MPG,Avg gallon cost,Cost to go one mile
Last Fillup,273.6,18.41,11.511,23.76856919468335,1.5993397619668144,0.06728801169590642
Last Month,812.5,53.349999999999994,34.92,23.26746849942726,1.5277777777777775,0.06566153846153845
Last 3 Months,1836.6999999999998,137.37,82.04499999999999,22.38649521603998,1.6743250655128286,0.0747917460663146
Last 6 Months,3587.6,315.7800000000001,163.081,21.998883990164398,1.936338383993231,0.08801984613669309
Last Year,8292.0,830.9099999999999,379.6940000000001,21.838638482567536,2.188367474861335,0.10020622286541243
All Time,12669.4,1297.3500000000004,582.377,21.754636601376774,2.2276806948076597,0.10240027152035616
